goos: linux
goarch: amd64
pkg: github.com/xtls/xray-core/transport/internet/splithttp
cpu: AMD EPYC 9354P 32-Core Processor               
BenchmarkXmuxManagerGetXmuxClientWarmPool-3                             	2026/03/16 02:25:28.336198 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 02:25:28.336629 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 02:25:28.336634 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 02:25:28.336639 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 02:25:28.336643 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 02:25:28.336647 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 02:25:28.336651 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 02:25:28.336689 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 02:25:28.343003 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 02:25:28.343187 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 02:25:28.343196 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 02:25:28.343201 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 02:25:28.343213 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 02:25:28.343217 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 02:25:28.343221 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 02:25:28.343225 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 02:25:28.343823 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 02:25:28.343881 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 02:25:28.343886 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 02:25:28.343890 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 02:25:28.343894 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 02:25:28.343898 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 02:25:28.343901 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 02:25:28.343905 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 02:25:28.346118 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 02:25:28.346226 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 02:25:28.346233 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 02:25:28.346237 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 02:25:28.346241 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 02:25:28.346245 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 02:25:28.346264 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 02:25:28.346268 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 02:25:28.352292 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 02:25:28.352341 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 02:25:28.352345 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 02:25:28.352348 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 02:25:28.352351 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 02:25:28.352354 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 02:25:28.352356 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 02:25:28.352359 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 02:25:28.873731 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 02:25:28.873769 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 02:25:28.873773 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 02:25:28.873776 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 02:25:28.873780 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 02:25:28.873784 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 02:25:28.874044 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 02:25:28.874057 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
461379469	         4.585 ns/op	       0 B/op	       0 allocs/op
2026/03/16 02:25:30.989892 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
BenchmarkXmuxManagerGetXmuxClientWithConcurrencyFilter-3                	2026/03/16 02:25:30.990012 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 02:25:30.990368 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 02:25:30.990382 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 02:25:30.990385 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 02:25:30.990388 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 02:25:30.990392 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 02:25:30.990395 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 02:25:30.990398 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 02:25:30.990403 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 02:25:30.990406 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
