2026/03/16 01:23:39.744956 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 01:23:39.745131 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 01:23:39.745136 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 01:23:39.745141 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 01:23:39.745144 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 01:23:39.745148 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 01:23:39.745152 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 01:23:39.745156 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
goos: linux
goarch: amd64
pkg: github.com/xtls/xray-core/transport/internet/splithttp
cpu: AMD EPYC 9354P 32-Core Processor               
BenchmarkXmuxManagerGetXmuxClientWarmPool-3                	2026/03/16 01:23:39.746275 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 01:23:39.746478 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 01:23:39.746503 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 01:23:39.746507 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 01:23:39.746510 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 01:23:39.746513 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 01:23:39.746516 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 01:23:39.746519 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 01:23:39.748911 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 01:23:39.748928 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 01:23:39.748933 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 01:23:39.748937 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 01:23:39.748941 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 01:23:39.748944 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 01:23:39.748949 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 01:23:39.748952 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 01:23:39.757291 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 01:23:39.757314 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 01:23:39.757319 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 01:23:39.757323 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 01:23:39.757327 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 01:23:39.757424 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 01:23:39.759666 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 01:23:39.759672 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 01:23:39.767208 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 01:23:39.767258 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 01:23:39.767263 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 01:23:39.767266 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 01:23:39.767269 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 01:23:39.767272 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 01:23:39.767275 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 01:23:39.767278 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
2026/03/16 01:23:40.275148 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 0
2026/03/16 01:23:40.275229 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 1
2026/03/16 01:23:40.275233 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 2
2026/03/16 01:23:40.275237 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 3
2026/03/16 01:23:40.275241 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 4
2026/03/16 01:23:40.275245 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 5
2026/03/16 01:23:40.275248 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 6
2026/03/16 01:23:40.275252 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 8, xmuxClients = 7
1000000000	         4.832 ns/op	       0 B/op	       0 allocs/op
2026/03/16 01:23:45.108547 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 01:23:45.108658 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 01:23:45.108667 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 01:23:45.108672 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 01:23:45.108676 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 01:23:45.108680 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 01:23:45.108690 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 01:23:45.108703 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 01:23:45.108706 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 01:23:45.108709 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
